"ID";"Fecha";"Comuna";"Genero.Victima";"Edad";"si.no";"Genero.Agresor";"Comuna.1";"Tipo";"Nombre_Genero_Victima_Texto";"Nombre_Genero_Agresor_Texto";"Nombre_Comuna";"Nombre_Violencia"
1;"09-09-2021 14:09";13201;1;25;0;NA;"Puente Alto";50;"Mujer";NA;"Puente Alto";"Falta de politicas o proteccion efectiva frente a la violencia"
2;"21-09-2021 14:01";13401;0;28;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
3;"28-09-2021 12:40";13122;0;27;0;NA;"Penalolen";50;"Hombre";NA;"Penalolen";"Falta de politicas o proteccion efectiva frente a la violencia"
4;"28-09-2021 13:16";13114;0;31;0;NA;"Las Condes";50;"Hombre";NA;"Las Condes";"Falta de politicas o proteccion efectiva frente a la violencia"
5;"28-09-2021 15:08";13104;0;23;0;NA;"Conchali";50;"Hombre";NA;"Conchali";"Falta de politicas o proteccion efectiva frente a la violencia"
6;"30-09-2021 13:24";13501;1;31;1;0;"Melipilla";9;"Mujer";"Hombre";"Melipilla";"Descalificacion constante o humillacion verbal"
7;"01-10-2021 12:40";13501;1;33;1;0;"Melipilla";42;"Mujer";"Hombre";"Melipilla";"Persecucion o acoso persistente (stalking)"
8;"05-10-2021 13:14";13105;0;22;1;0;"El Bosque";35;"Hombre";"Hombre";"El Bosque";"Golpes con objetos, punetazos, patadas"
9;"06-10-2021 12:31";13105;0;30;0;NA;"El Bosque";50;"Hombre";NA;"El Bosque";"Falta de politicas o proteccion efectiva frente a la violencia"
10;"06-10-2021 13:27";13125;1;39;1;0;"Quilicura";4;"Mujer";"Hombre";"Quilicura";"Interrupciones o invisibilizacion en espacios publicos o laborales"
11;"07-10-2021 14:27";13101;1;31;0;NA;"Santiago";50;"Mujer";NA;"Santiago";"Falta de politicas o proteccion efectiva frente a la violencia"
12;"12-10-2021 13:49";13110;1;30;1;0;"La Florida";24;"Mujer";"Hombre";"La Florida";"Miradas o gestos lascivos"
13;"13-10-2021 13:05";13501;1;27;1;1;"Melipilla";6;"Mujer";"Mujer";"Melipilla";"Cosificacion o reduccion de una persona a su apariencia fisica"
14;"13-10-2021 13:34";13128;0;22;0;NA;"Renca";50;"Hombre";NA;"Renca";"Falta de politicas o proteccion efectiva frente a la violencia"
15;"13-10-2021 13:46";13115;0;28;0;NA;"Lo Barnechea";50;"Hombre";NA;"Lo Barnechea";"Falta de politicas o proteccion efectiva frente a la violencia"
16;"14-10-2021 12:49";13101;1;30;0;NA;"Santiago";50;"Mujer";NA;"Santiago";"Falta de politicas o proteccion efectiva frente a la violencia"
17;"14-10-2021 14:25";13102;0;27;0;NA;"Cerrillos";50;"Hombre";NA;"Cerrillos";"Falta de politicas o proteccion efectiva frente a la violencia"
18;"14-10-2021 14:46";13111;0;26;0;NA;"La Granja";50;"Hombre";NA;"La Granja";"Falta de politicas o proteccion efectiva frente a la violencia"
19;"14-10-2021 16:04";13110;1;27;1;1;"La Florida";30;"Mujer";"Mujer";"La Florida";"Acoso sexual en el trabajo o espacios educativos"
20;"19-10-2021 12:17";13115;1;25;1;1;"Lo Barnechea";6;"Mujer";"Mujer";"Lo Barnechea";"Cosificacion o reduccion de una persona a su apariencia fisica"
21;"19-10-2021 13:41";13121;0;28;0;NA;"Pedro Aguirre Cerda";50;"Hombre";NA;"Pedro Aguirre Cerda";"Falta de politicas o proteccion efectiva frente a la violencia"
22;"20-10-2021 11:30";13104;1;21;1;0;"Conchali";9;"Mujer";"Hombre";"Conchali";"Descalificacion constante o humillacion verbal"
23;"20-10-2021 13:07";13101;0;31;0;NA;"Santiago";50;"Hombre";NA;"Santiago";"Falta de politicas o proteccion efectiva frente a la violencia"
24;"21-10-2021 12:13";13501;1;35;1;0;"Melipilla";42;"Mujer";"Hombre";"Melipilla";"Persecucion o acoso persistente (stalking)"
25;"21-10-2021 16:34";13104;0;29;0;NA;"Conchali";50;"Hombre";NA;"Conchali";"Falta de politicas o proteccion efectiva frente a la violencia"
26;"22-10-2021 13:04";13114;0;21;1;0;"Las Condes";24;"Hombre";"Hombre";"Las Condes";"Miradas o gestos lascivos"
27;"25-10-2021 16:09";13401;0;27;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
28;"29-10-2021 13:18";13601;0;29;0;NA;"Talagante";50;"Hombre";NA;"Talagante";"Falta de politicas o proteccion efectiva frente a la violencia"
29;"30-10-2021 13:48";13402;0;24;0;NA;"Buin";50;"Hombre";NA;"Buin";"Falta de politicas o proteccion efectiva frente a la violencia"
30;"02-11-2021 12:26";13120;1;36;1;0;"Nunoa";9;"Mujer";"Hombre";"Nunoa";"Descalificacion constante o humillacion verbal"
31;"02-11-2021 13:46";13122;1;38;0;NA;"Penalolen";50;"Mujer";NA;"Penalolen";"Falta de politicas o proteccion efectiva frente a la violencia"
32;"02-11-2021 14:56";13109;0;23;0;NA;"La Cisterna";50;"Hombre";NA;"La Cisterna";"Falta de politicas o proteccion efectiva frente a la violencia"
33;"02-11-2021 15:20";13125;0;20;0;NA;"Quilicura";50;"Hombre";NA;"Quilicura";"Falta de politicas o proteccion efectiva frente a la violencia"
34;"02-11-2021 16:50";13119;0;34;0;NA;"Maipu";50;"Hombre";NA;"Maipu";"Falta de politicas o proteccion efectiva frente a la violencia"
35;"02-11-2021 18:23";13119;1;33;1;0;"Maipu";33;"Mujer";"Hombre";"Maipu";"Empujones o sacudidas leves"
36;"03-11-2021 10:56";13201;0;20;0;NA;"Puente Alto";50;"Hombre";NA;"Puente Alto";"Falta de politicas o proteccion efectiva frente a la violencia"
37;"03-11-2021 13:16";13201;1;24;1;1;"Puente Alto";35;"Mujer";"Mujer";"Puente Alto";"Golpes con objetos, punetazos, patadas"
38;"03-11-2021 14:21";13114;0;26;1;0;"Las Condes";35;"Hombre";"Hombre";"Las Condes";"Golpes con objetos, punetazos, patadas"
39;"04-11-2021 13:25";13601;0;22;1;0;"Talagante";23;"Hombre";"Hombre";"Talagante";"Comentarios sexuales no deseados"
40;"04-11-2021 15:06";13401;1;34;1;0;"San Bernardo";9;"Mujer";"Hombre";"San Bernardo";"Descalificacion constante o humillacion verbal"
41;"04-11-2021 16:03";13119;1;26;1;1;"Maipu";35;"Mujer";"Mujer";"Maipu";"Golpes con objetos, punetazos, patadas"
42;"05-11-2021 13:40";13118;1;29;0;NA;"Macul";50;"Mujer";NA;"Macul";"Falta de politicas o proteccion efectiva frente a la violencia"
43;"08-11-2021 12:49";13123;0;20;1;0;"Providencia";8;"Hombre";"Hombre";"Providencia";"Apropiacion de ideas u opiniones en entornos profesionales"
44;"09-11-2021 10:53";13301;1;20;1;0;"Colina";10;"Mujer";"Hombre";"Colina";"Manipulacion emocional o gaslighting"
45;"09-11-2021 12:58";13401;1;33;1;0;"San Bernardo";9;"Mujer";"Hombre";"San Bernardo";"Descalificacion constante o humillacion verbal"
46;"10-11-2021 11:58";13119;1;22;1;0;"Maipu";23;"Mujer";"Hombre";"Maipu";"Comentarios sexuales no deseados"
47;"10-11-2021 12:11";13123;1;19;1;1;"Providencia";27;"Mujer";"Mujer";"Providencia";"Relaciones sexuales sin consentimiento pleno"
48;"10-11-2021 13:39";13101;0;26;1;1;"Santiago";16;"Hombre";"Mujer";"Santiago";"Uso de hijos/as u otras personas como chantaje emocional"
49;"10-11-2021 13:54";13201;0;30;1;0;"Puente Alto";35;"Hombre";"Hombre";"Puente Alto";"Golpes con objetos, punetazos, patadas"
50;"10-11-2021 15:19";13122;0;36;0;NA;"Penalolen";50;"Hombre";NA;"Penalolen";"Falta de politicas o proteccion efectiva frente a la violencia"
51;"10-11-2021 15:21";13601;0;24;0;NA;"Talagante";50;"Hombre";NA;"Talagante";"Falta de politicas o proteccion efectiva frente a la violencia"
52;"10-11-2021 16:18";13401;0;22;0;NA;"San Bernardo";50;"Hombre";NA;"San Bernardo";"Falta de politicas o proteccion efectiva frente a la violencia"
53;"11-11-2021 12:39";13605;1;21;1;1;"Penaflor";36;"Mujer";"Mujer";"Penaflor";"Lesiones fisicas moderadas o graves"
54;"11-11-2021 12:40";13130;1;30;1;0;"San Miguel";9;"Mujer";"Hombre";"San Miguel";"Descalificacion constante o humillacion verbal"
55;"11-11-2021 13:35";13122;1;22;1;0;"Penalolen";23;"Mujer";"Hombre";"Penalolen";"Comentarios sexuales no deseados"
56;"11-11-2021 14:20";13110;1;30;0;NA;"La Florida";50;"Mujer";NA;"La Florida";"Falta de politicas o proteccion efectiva frente a la violencia"
57;"12-11-2021 14:26";13115;1;21;1;0;"Lo Barnechea";10;"Mujer";"Hombre";"Lo Barnechea";"Manipulacion emocional o gaslighting"
58;"15-11-2021 13:50";13128;1;32;1;0;"Renca";15;"Mujer";"Hombre";"Renca";"Fomento de inseguridades o dependencia emocional"
59;"16-11-2021 13:54";13101;1;36;1;1;"Santiago";27;"Mujer";"Mujer";"Santiago";"Relaciones sexuales sin consentimiento pleno"
60;"16-11-2021 14:37";13107;0;28;0;NA;"Huechuraba";50;"Hombre";NA;"Huechuraba";"Falta de politicas o proteccion efectiva frente a la violencia"
61;"16-11-2021 15:17";13126;1;28;1;0;"Quinta Normal";19;"Mujer";"Hombre";"Quinta Normal";"Retencion o robo de bienes personales o dinero"
62;"16-11-2021 16:11";13124;1;40;1;0;"Pudahuel";4;"Mujer";"Hombre";"Pudahuel";"Interrupciones o invisibilizacion en espacios publicos o laborales"
63;"17-11-2021 11:03";13302;1;32;1;0;"Lampa";9;"Mujer";"Hombre";"Lampa";"Descalificacion constante o humillacion verbal"
64;"17-11-2021 13:03";13121;1;23;0;NA;"Pedro Aguirre Cerda";50;"Mujer";NA;"Pedro Aguirre Cerda";"Falta de politicas o proteccion efectiva frente a la violencia"
65;"17-11-2021 13:06";13128;0;27;0;NA;"Renca";50;"Hombre";NA;"Renca";"Falta de politicas o proteccion efectiva frente a la violencia"
